Fund,Sharpe,Sortino Ratio,1 Year CAGR,3 Year CAGR,5 Year CAGR,Score
axis_bluechip,0.265456966955413,648.5282778659317,6.22,7.36,6.54,196.87266614656167
kotak_bluechip,0.6950969369481779,0.8088528127835641,5.45,17.63,18.35,5.8096946186143406
hdfc_top_100,1.1109877307857694,1.3449716033799726,5.16,13.82,15.38,4.993886573328299
nippon_large_cap,0.5729150426217545,0.7103088442255334,1.48,15.03,16.25,4.951258670316362
sbi_bluechip,-0.6775081862757395,-0.3836742769490977,-1.42,-2.0,-7.36,-0.986105557595025
icici_bluechip,,inf,1.23,10.82,8.32,
